snapshot_path,rel_path,radon_total_complexity,radon_num_items,pylint_msgs_count,pylint_rc,bandit_issues_count,bandit_rc
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\forms_tests\tests\test_utils.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\forms_tests\tests\test_utils.py,17,16,28,26,2,1
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\forms\forms.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\forms\forms.py,114,32,33,30,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\template\context.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\template\context.py,76,39,15,28,0,0
snapshots\fff4870bfa7ed4d9ab6be0060364b23c66ad1af0\tests\utils_tests\test_dateparse.py,fff4870bfa7ed4d9ab6be0060364b23c66ad1af0\tests\utils_tests\test_dateparse.py,22,14,26,18,0,0
snapshots\fff4870bfa7ed4d9ab6be0060364b23c66ad1af0\django\utils\dateparse.py,fff4870bfa7ed4d9ab6be0060364b23c66ad1af0\django\utils\dateparse.py,30,4,6,10,0,0
snapshots\fff14736f1cc594f79ea0e2656b8375d837b7aca\tests\async\test_async_queryset.py,fff14736f1cc594f79ea0e2656b8375d837b7aca\tests\async\test_async_queryset.py,48,28,39,30,2,1
snapshots\fff14736f1cc594f79ea0e2656b8375d837b7aca\django\db\models\query.py,fff14736f1cc594f79ea0e2656b8375d837b7aca\django\db\models\query.py,654,167,207,30,1,1
snapshots\ffe756d6242d513bfbba9686b5a3d90f0a67c214\django\db\backends\base\features.py,ffe756d6242d513bfbba9686b5a3d90f0a67c214\django\db\backends\base\features.py,7,5,6,22,0,0
snapshots\ffe756d6242d513bfbba9686b5a3d90f0a67c214\django\db\backends\oracle\features.py,ffe756d6242d513bfbba9686b5a3d90f0a67c214\django\db\backends\oracle\features.py,8,4,9,18,0,0
snapshots\ffe756d6242d513bfbba9686b5a3d90f0a67c214\django\db\backends\postgresql\features.py,ffe756d6242d513bfbba9686b5a3d90f0a67c214\django\db\backends\postgresql\features.py,9,7,12,22,0,0
snapshots\ffe756d6242d513bfbba9686b5a3d90f0a67c214\django\db\backends\sqlite3\features.py,ffe756d6242d513bfbba9686b5a3d90f0a67c214\django\db\backends\sqlite3\features.py,12,5,13,18,0,0
snapshots\ffdee8d2645227748ae4061f21fc48cca4d75c22\tests\csrf_tests\tests.py,ffdee8d2645227748ae4061f21fc48cca4d75c22\tests\csrf_tests\tests.py,95,85,88,30,0,0
snapshots\ffc0d57a04141b6bc8f1263849cfcc9566cf63a8\tests\runtests.py,ffc0d57a04141b6bc8f1263849cfcc9566cf63a8\tests\runtests.py,78,12,52,28,4,1
snapshots\78eaae9bf16f455c3a35234e0a04c08d5c82f808\setup.py,78eaae9bf16f455c3a35234e0a04c08d5c82f808\setup.py,0,0,4,22,0,0
snapshots\c1d50b901b50672a46e7e5fe473c14da1616fc4e\setup.py,c1d50b901b50672a46e7e5fe473c14da1616fc4e\setup.py,0,0,4,22,0,0
snapshots\ec0ff406311de88f4e2a135d784363424fe602aa\setup.py,ec0ff406311de88f4e2a135d784363424fe602aa\setup.py,0,0,5,22,0,0
snapshots\ffff17d4b0117cce59f65c9f56fa164694eafd23\tests\migrations\test_operations.py,ffff17d4b0117cce59f65c9f56fa164694eafd23\tests\migrations\test_operations.py,194,144,229,30,1,1
snapshots\ffff17d4b0117cce59f65c9f56fa164694eafd23\django\db\backends\mysql\schema.py,ffff17d4b0117cce59f65c9f56fa164694eafd23\django\db\backends\mysql\schema.py,60,21,24,30,1,1
snapshots\ffff17d4b0117cce59f65c9f56fa164694eafd23\django\db\backends\oracle\schema.py,ffff17d4b0117cce59f65c9f56fa164694eafd23\django\db\backends\oracle\schema.py,56,15,33,30,2,1
snapshots\ffff17d4b0117cce59f65c9f56fa164694eafd23\django\db\backends\postgresql\schema.py,ffff17d4b0117cce59f65c9f56fa164694eafd23\django\db\backends\postgresql\schema.py,73,17,30,30,0,0
snapshots\fffeb5df554c93f0f9e634a820323b4771e9bfc7\django\contrib\auth\backends.py,fffeb5df554c93f0f9e634a820323b4771e9bfc7\django\contrib\auth\backends.py,72,28,39,30,0,0
snapshots\fffa64abc3870989d62659453cb302857c539956\tests\humanize_tests\tests.py,fffa64abc3870989d62659453cb302857c539956\tests\humanize_tests\tests.py,33,19,32,30,1,1
snapshots\fffa64abc3870989d62659453cb302857c539956\django\utils\numberformat.py,fffa64abc3870989d62659453cb302857c539956\django\utils\numberformat.py,29,1,13,30,4,1
snapshots\fe835c2355072fc2b7a0fbbc57d05477c7ee6ce9\tests\template_tests\test_autoreloader.py,fe835c2355072fc2b7a0fbbc57d05477c7ee6ce9\tests\template_tests\test_autoreloader.py,19,17,22,18,0,0
snapshots\fe835c2355072fc2b7a0fbbc57d05477c7ee6ce9\django\template\autoreload.py,fe835c2355072fc2b7a0fbbc57d05477c7ee6ce9\django\template\autoreload.py,22,4,16,30,0,0
snapshots\fe7dbef5867c577995f0fc849d8dfdb8f2e6bbfa\tests\admin_views\test_prevent_double_submission.py,fe7dbef5867c577995f0fc849d8dfdb8f2e6bbfa\tests\admin_views\test_prevent_double_submission.py,10,7,26,18,2,1
snapshots\fe76944269c13d59f8bb3bc1cfff7ab6443777e4\tests\humanize_tests\tests.py,fe76944269c13d59f8bb3bc1cfff7ab6443777e4\tests\humanize_tests\tests.py,33,19,34,30,1,1
snapshots\fe4a0bbe2088d0c2b331216dad21ccd0bb3ee80d\tests\file_storage\tests.py,fe4a0bbe2088d0c2b331216dad21ccd0bb3ee80d\tests\file_storage\tests.py,142,106,129,30,2,1
snapshots\fe4a0bbe2088d0c2b331216dad21ccd0bb3ee80d\tests\file_storage\test_base.py,fe4a0bbe2088d0c2b331216dad21ccd0bb3ee80d\tests\file_storage\test_base.py,13,7,11,30,0,0
snapshots\fe4a0bbe2088d0c2b331216dad21ccd0bb3ee80d\tests\file_uploads\tests.py,fe4a0bbe2088d0c2b331216dad21ccd0bb3ee80d\tests\file_uploads\tests.py,66,47,86,30,10,1
snapshots\fe4a0bbe2088d0c2b331216dad21ccd0bb3ee80d\django\core\files\utils.py,fe4a0bbe2088d0c2b331216dad21ccd0bb3ee80d\django\core\files\utils.py,21,7,10,18,0,0
snapshots\fe4a0bbe2088d0c2b331216dad21ccd0bb3ee80d\django\core\files\storage\base.py,fe4a0bbe2088d0c2b331216dad21ccd0bb3ee80d\django\core\files\storage\base.py,27,16,12,18,0,0
snapshots\fe1cb62f5c3f87fafc4a6b52fee2ccc6c80c41e2\tests\schema\tests.py,fe1cb62f5c3f87fafc4a6b52fee2ccc6c80c41e2\tests\schema\tests.py,429,243,868,30,2,1
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\test\client.py,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\test\client.py,225,82,137,30,2,1
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\test\testcases.py,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\test\testcases.py,359,129,197,30,2,1
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\utils\http.py,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\utils\http.py,81,17,23,30,1,1
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\admin\options.py,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\admin\options.py,440,118,276,30,4,1
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\auth\decorators.py,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\auth\decorators.py,6,4,8,18,0,0
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\auth\middleware.py,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\auth\middleware.py,46,14,27,30,0,0
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\auth\mixins.py,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\auth\mixins.py,36,15,12,18,0,0
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\auth\views.py,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\auth\views.py,80,39,59,30,2,1
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\staticfiles\handlers.py,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\staticfiles\handlers.py,28,15,14,22,0,0
snapshots\ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\admin\templatetags\admin_urls.py,ff308a06047cd60806d604a7cf612e5656ee2ac9\django\contrib\admin\templatetags\admin_urls.py,12,3,17,26,0,0
snapshots\ff8e5eacda630a0ccab340fd7da609e4162b390c\django\__init__.py,ff8e5eacda630a0ccab340fd7da609e4162b390c\django\__init__.py,3,1,15,18,0,0
snapshots\ff8e5eacda630a0ccab340fd7da609e4162b390c\docs\conf.py,ff8e5eacda630a0ccab340fd7da609e4162b390c\docs\conf.py,3,1,34,20,0,0
snapshots\ff835f439cb1ecd8d74a24de12e3c03e5477dc9d\tests\logging_tests\tests.py,ff835f439cb1ecd8d74a24de12e3c03e5477dc9d\tests\logging_tests\tests.py,100,75,102,30,0,0
snapshots\ff835f439cb1ecd8d74a24de12e3c03e5477dc9d\django\core\handlers\exception.py,ff835f439cb1ecd8d74a24de12e3c03e5477dc9d\django\core\handlers\exception.py,19,4,19,30,0,0
snapshots\ff661dbd506efbdf51cc8da89cb98731c8a62f49\django\utils\tree.py,ff661dbd506efbdf51cc8da89cb98731c8a62f49\django\utils\tree.py,27,13,3,26,0,0
snapshots\ff514309e178e3955012050ead9b8fc66dc21a5b\tests\csrf_tests\tests.py,ff514309e178e3955012050ead9b8fc66dc21a5b\tests\csrf_tests\tests.py,86,78,83,30,0,0
snapshots\ff514309e178e3955012050ead9b8fc66dc21a5b\django\middleware\csrf.py,ff514309e178e3955012050ead9b8fc66dc21a5b\django\middleware\csrf.py,82,21,25,30,3,1
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\admin_views\models.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\admin_views\models.py,259,204,325,30,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\admin_views\tests.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\admin_views\tests.py,646,521,709,30,83,1
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\auth_tests\test_validators.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\auth_tests\test_validators.py,49,35,74,30,3,1
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\db\backends\postgis\models.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\db\backends\postgis\models.py,8,6,9,26,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\db\backends\spatialite\models.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\db\backends\spatialite\models.py,8,6,9,26,0,0
snapshots\ff3a2834224f527ca574b5cd0d578c8c26d51a6c\tests\migrations\test_operations.py,ff3a2834224f527ca574b5cd0d578c8c26d51a6c\tests\migrations\test_operations.py,189,144,232,30,1,1
snapshots\ff3a2834224f527ca574b5cd0d578c8c26d51a6c\django\db\migrations\operations\models.py,ff3a2834224f527ca574b5cd0d578c8c26d51a6c\django\db\migrations\operations\models.py,303,140,211,30,0,0
